Bentley Splice Report
Device Type: Splice  Model: Needs Verify Full  Name: 300N&MAIN   ID: 654887253
Report Date: Thu May 21 11:57:07 2026

Location: 39.159808 -111.818362
Street:    City/St:    Pole #: 
Desc:    Splice#: 300N&MAIN


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,   1,BL,BL,<->,144-SMF NB US-89 DIST,   1,BL,BL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,   2,BL,OR,<->,144-SMF NB US-89 DIST,   2,BL,OR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,   3,BL,GR,<->,144-SMF NB US-89 DIST,   3,BL,GR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,   4,BL,BR,<->,144-SMF NB US-89 DIST,   4,BL,BR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,   5,BL,SL,<->,144-SMF NB US-89 DIST,   5,BL,SL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,   6,BL,WH,<->,144-SMF NB US-89 DIST,   6,BL,WH,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,   7,BL,RD,<->,144-SMF NB US-89 DIST,   7,BL,RD,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,   8,BL,BK,<->,144-SMF NB US-89 DIST,   8,BL,BK,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,   9,BL,YL,<->,144-SMF NB US-89 DIST,   9,BL,YL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  10,BL,VI,<->,144-SMF NB US-89 DIST,  10,BL,VI,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  11,BL,RO,<->,144-SMF NB US-89 DIST,  11,BL,RO,HUB4-12(SALINA),CH 4253
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  12,BL,AQ,<->,144-SMF NB US-89 DIST,  12,BL,AQ,HUB4-12(SALINA),CH 4253
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  13,OR,BL,<->,144-SMF NB US-89 DIST,  13,OR,BL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  14,OR,OR,<->,144-SMF NB US-89 DIST,  14,OR,OR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  15,OR,GR,<->,144-SMF NB US-89 DIST,  15,OR,GR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  16,OR,BR,<->,144-SMF NB US-89 DIST,  16,OR,BR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  17,OR,SL,<->,144-SMF NB US-89 DIST,  17,OR,SL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  18,OR,WH,<->,144-SMF NB US-89 DIST,  18,OR,WH,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  19,OR,RD,<->,144-SMF NB US-89 DIST,  19,OR,RD,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  20,OR,BK,<->,144-SMF NB US-89 DIST,  20,OR,BK,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  21,OR,YL,<->,144-SMF NB US-89 DIST,  21,OR,YL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  22,OR,VI,<->,144-SMF NB US-89 DIST,  22,OR,VI,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  23,OR,RO,<->,144-SMF NB US-89 DIST,  23,OR,RO,HUB4-12(SALINA),[ATMS BB] 4-12 - 4-26
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  24,OR,AQ,<->,144-SMF NB US-89 DIST,  24,OR,AQ,HUB4-12(SALINA),[ATMS BB] 4-12 - 4-26
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  25,GR,BL,<->,144-SMF NB US-89 DIST,  25,GR,BL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  26,GR,OR,<->,144-SMF NB US-89 DIST,  26,GR,OR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  27,GR,GR,<->,144-SMF NB US-89 DIST,  27,GR,GR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  28,GR,BR,<->,144-SMF NB US-89 DIST,  28,GR,BR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  29,GR,SL,<->,144-SMF NB US-89 DIST,  29,GR,SL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  30,GR,WH,<->,144-SMF NB US-89 DIST,  30,GR,WH,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  31,GR,RD,<->,144-SMF NB US-89 DIST,  31,GR,RD,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  32,GR,BK,<->,144-SMF NB US-89 DIST,  32,GR,BK,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  33,GR,YL,<->,144-SMF NB US-89 DIST,  33,GR,YL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  34,GR,VI,<->,144-SMF NB US-89 DIST,  34,GR,VI,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  35,GR,RO,<->,144-SMF NB US-89 DIST,  35,GR,RO,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  36,GR,AQ,<->,144-SMF NB US-89 DIST,  36,GR,AQ,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  37,BR,BL,<->,144-SMF NB US-89 DIST,  37,BR,BL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  38,BR,OR,<->,144-SMF NB US-89 DIST,  38,BR,OR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  39,BR,GR,<->,144-SMF NB US-89 DIST,  39,BR,GR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  40,BR,BR,<->,144-SMF NB US-89 DIST,  40,BR,BR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  41,BR,SL,<->,144-SMF NB US-89 DIST,  41,BR,SL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  42,BR,WH,<->,144-SMF NB US-89 DIST,  42,BR,WH,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  43,BR,RD,<->,144-SMF NB US-89 DIST,  43,BR,RD,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  44,BR,BK,<->,144-SMF NB US-89 DIST,  44,BR,BK,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  45,BR,YL,<->,144-SMF NB US-89 DIST,  45,BR,YL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  46,BR,VI,<->,144-SMF NB US-89 DIST,  46,BR,VI,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  47,BR,RO,<->,144-SMF NB US-89 DIST,  47,BR,RO,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  48,BR,AQ,<->,144-SMF NB US-89 DIST,  48,BR,AQ,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  49,SL,BL,<->,144-SMF NB US-89 DIST,  49,SL,BL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  50,SL,OR,<->,144-SMF NB US-89 DIST,  50,SL,OR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  51,SL,GR,<->,144-SMF NB US-89 DIST,  51,SL,GR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  52,SL,BR,<->,144-SMF NB US-89 DIST,  52,SL,BR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  53,SL,SL,<->,144-SMF NB US-89 DIST,  53,SL,SL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  54,SL,WH,<->,144-SMF NB US-89 DIST,  54,SL,WH,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  55,SL,RD,<->,144-SMF NB US-89 DIST,  55,SL,RD,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  56,SL,BK,<->,144-SMF NB US-89 DIST,  56,SL,BK,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  57,SL,YL,<->,144-SMF NB US-89 DIST,  57,SL,YL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  58,SL,VI,<->,144-SMF NB US-89 DIST,  58,SL,VI,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  59,SL,RO,<->,144-SMF NB US-89 DIST,  59,SL,RO,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  60,SL,AQ,<->,144-SMF NB US-89 DIST,  60,SL,AQ,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  61,WH,BL,<->,144-SMF NB US-89 DIST,  61,WH,BL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  62,WH,OR,<->,144-SMF NB US-89 DIST,  62,WH,OR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  63,WH,GR,<->,144-SMF NB US-89 DIST,  63,WH,GR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  64,WH,BR,<->,144-SMF NB US-89 DIST,  64,WH,BR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  65,WH,SL,<->,144-SMF NB US-89 DIST,  65,WH,SL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  66,WH,WH,<->,144-SMF NB US-89 DIST,  66,WH,WH,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  67,WH,RD,<->,144-SMF NB US-89 DIST,  67,WH,RD,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  68,WH,BK,<->,144-SMF NB US-89 DIST,  68,WH,BK,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  69,WH,YL,<->,144-SMF NB US-89 DIST,  69,WH,YL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  70,WH,VI,<->,144-SMF NB US-89 DIST,  70,WH,VI,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  71,WH,RO,<->,144-SMF NB US-89 DIST,  71,WH,RO,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  72,WH,AQ,<->,144-SMF NB US-89 DIST,  72,WH,AQ,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  73,RD,BL,<->,144-SMF NB US-89 DIST,  73,RD,BL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  74,RD,OR,<->,144-SMF NB US-89 DIST,  74,RD,OR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  75,RD,GR,<->,144-SMF NB US-89 DIST,  75,RD,GR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  76,RD,BR,<->,144-SMF NB US-89 DIST,  76,RD,BR,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  77,RD,SL,<->,144-SMF NB US-89 DIST,  77,RD,SL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  78,RD,WH,<->,144-SMF NB US-89 DIST,  78,RD,WH,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  79,RD,RD,<->,144-SMF NB US-89 DIST,  79,RD,RD,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  80,RD,BK,<->,144-SMF NB US-89 DIST,  80,RD,BK,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  81,RD,YL,<->,144-SMF NB US-89 DIST,  81,RD,YL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  82,RD,VI,<->,144-SMF NB US-89 DIST,  82,RD,VI,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  83,RD,RO,<->,144-SMF NB US-89 DIST,  83,RD,RO,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  84,RD,AQ,<->,144-SMF NB US-89 DIST,  84,RD,AQ,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  85,BK,BL,<->,144-SMF NB US-89 DIST,  85,BK,BL,HUB4-12(SALINA),
HUB_4-26_(GUNNISON_SHED),288-SMF WB US-89 DIST,  86,BK,OR,<->,144-SMF NB US-89 DIST,  86,BK,OR,HUB4-12(SALINA),
