Bentley Splice Report
Device Type: Splice  Model: Needs Verify Mid-Sheath  Name: I-15NB@SR-85   ID: 654497210
Report Date: Thu May 14 12:14:45 2026

Location: 40.415056 -111.869357
Street:    City/St:    Pole #: 
Desc: UDOT   Splice#: I-15NB@SR-85


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,   1,BL,BL,<->,288 DIST I-15: MP282 - 1200W, ,BL,BL, ,CH 2001
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,   2,BL,OR,<->,288 DIST I-15: MP282 - 1200W, ,BL,OR, ,CH 2001
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,   3,BL,GR,<->,288 DIST I-15: MP282 - 1200W, ,BL,GR, ,CH 2002
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,   4,BL,BR,<->,288 DIST I-15: MP282 - 1200W, ,BL,BR, ,CH 2002
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,   5,BL,SL,<->,288 DIST I-15: MP282 - 1200W, ,BL,SL, ,CH 2003
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,   6,BL,WH,<->,288 DIST I-15: MP282 - 1200W, ,BL,WH, ,CH 2003
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,   7,BL,RD,<->,288 DIST I-15: MP282 - 1200W, ,BL,RD, ,
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,   8,BL,BK,<->,288 DIST I-15: MP282 - 1200W, ,BL,BK, ,
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,   9,BL,YL,<->,288 DIST I-15: MP282 - 1200W, ,BL,YL, ,CH 2228
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  10,BL,VI,<->,288 DIST I-15: MP282 - 1200W, ,BL,VI, ,CH 2228
HUB2-8(I-215&700_W),288 DIS I-15: 1200W - FRONTAGE RD,  11,BL,RO,<->,288 DIST I-15: MP282 - 1200W, ,BL,RO, ,[HORROCKS] 2-12 - PG BLDG
HUB2-8(I-215&700_W),288 DIS I-15: 1200W - FRONTAGE RD,  12,BL,AQ,<->,288 DIST I-15: MP282 - 1200W, ,BL,AQ, ,[HORROCKS] 2-12 - PG BLDG
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  13,OR,BL,<->,288 DIST I-15: MP282 - 1200W, ,OR,BL, ,CH 3005
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  14,OR,OR,<->,288 DIST I-15: MP282 - 1200W, ,OR,OR, ,CH 3005
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  15,OR,GR,<->,288 DIST I-15: MP282 - 1200W, ,OR,GR, ,CH 3006
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  16,OR,BR,<->,288 DIST I-15: MP282 - 1200W, ,OR,BR, ,CH 3006
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  17,OR,SL,<->,288 DIST I-15: MP282 - 1200W, ,OR,SL, ,CH 2229
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  18,OR,WH,<->,288 DIST I-15: MP282 - 1200W, ,OR,WH, ,CH 2229
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  19,OR,RD,<->,288 DIST I-15: MP282 - 1200W, ,OR,RD, ,CH 3008
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  20,OR,BK,<->,288 DIST I-15: MP282 - 1200W, ,OR,BK, ,CH 3008
HUB2-8(I-215&700_W),288 DIS I-15: 1200W - FRONTAGE RD,  21,OR,YL,<->,288 DIST I-15: MP282 - 1200W, ,OR,YL, ,[HORROCKS] 2-08 - PG BLDG
HUB2-8(I-215&700_W),288 DIS I-15: 1200W - FRONTAGE RD,  22,OR,VI,<->,288 DIST I-15: MP282 - 1200W, ,OR,VI, ,[HORROCKS] 2-08 - PG BLDG
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  23,OR,RO,<->,288 DIST I-15: MP282 - 1200W, ,OR,RO, ,CH 3011
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  24,OR,AQ,<->,288 DIST I-15: MP282 - 1200W, ,OR,AQ, ,CH 3011
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  25,GR,BL,<->,288 DIST I-15: MP282 - 1200W, ,GR,BL, ,CH 3012
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  26,GR,OR,<->,288 DIST I-15: MP282 - 1200W, ,GR,OR, ,CH 3012
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  27,GR,GR,<->,288 DIST I-15: MP282 - 1200W, ,GR,GR, ,CH 3004
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  28,GR,BR,<->,288 DIST I-15: MP282 - 1200W, ,GR,BR, ,CH 3004
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  29,GR,SL,<->,72 DIST 1200W:,   1,BL,BL,TSC:1200W&3200N,CH 3034,CH 3034
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  30,GR,WH,<->,72 DIST 1200W:,   2,BL,OR,TSC:1200W&3200N,CH 3034,CH 3034
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  31,GR,RD,<->,288 DIST I-15: MP282 - 1200W, ,GR,RD, ,
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  32,GR,BK,<->,288 DIST I-15: MP282 - 1200W, ,GR,BK, ,
SP-2002.8,288 DIS I-15: 1200W - FRONTAGE RD,  33,GR,YL,<->,288 DIST I-15: MP282 - 1200W, ,GR,YL, ,
SP-2002.8,288 DIS I-15: 1200W - FRONTAGE RD,  34,GR,VI,<->,288 DIST I-15: MP282 - 1200W, ,GR,VI, ,
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  35,GR,RO,<->,144 DIST CROSSING I-15,   1,BL,BL,HUB3-8(BLUFFDALE_REDWOOD_RD),CH 3000
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  36,GR,AQ,<->,144 DIST CROSSING I-15,   2,BL,OR,HUB3-8(BLUFFDALE_REDWOOD_RD),CH 3000
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  37,BR,BL,<->,288 DIST I-15: MP282 - 1200W, ,BR,BL, ,CH 3007
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  38,BR,OR,<->,288 DIST I-15: MP282 - 1200W, ,BR,OR, ,CH 3007
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  39,BR,GR,<->,288 DIST I-15: MP282 - 1200W, ,BR,GR, ,EL-206
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  40,BR,BR,<->,288 DIST I-15: MP282 - 1200W, ,BR,BR, ,EL-206
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  41,BR,SL,<->,288 DIST I-15: MP282 - 1200W, ,BR,SL, ,
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  42,BR,WH,<->,288 DIST I-15: MP282 - 1200W, ,BR,WH, ,
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  43,BR,RD,<->,288 DIST I-15: MP282 - 1200W, ,BR,RD, ,
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  44,BR,BK,<->,288 DIST I-15: MP282 - 1200W, ,BR,BK, ,
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  45,BR,YL,<->,288 DIST I-15: MP282 - 1200W, ,BR,YL, ,EL-301
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  46,BR,VI,<->,288 DIST I-15: MP282 - 1200W, ,BR,VI, ,EL-301
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  47,BR,RO,<->,288 DIST I-15: MP282 - 1200W, ,BR,RO, ,
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  48,BR,AQ,<->,288 DIST I-15: MP282 - 1200W, ,BR,AQ, ,
SPSR-92SOUTH-3001.3.4,288 DIS I-15: 1200W - FRONTAGE RD,  49,SL,BL,<->,288 DIST I-15: MP282 - 1200W, ,SL,BL, ,
SPSR-92SOUTH-3001.3.4,288 DIS I-15: 1200W - FRONTAGE RD,  50,SL,OR,<->,288 DIST I-15: MP282 - 1200W, ,SL,OR, ,
SPSR-92SOUTH-3001.3.4,288 DIS I-15: 1200W - FRONTAGE RD,  51,SL,GR,<->,288 DIST I-15: MP282 - 1200W, ,SL,GR, ,
SPSR-92SOUTH-3001.3.4,288 DIS I-15: 1200W - FRONTAGE RD,  52,SL,BR,<->,288 DIST I-15: MP282 - 1200W, ,SL,BR, ,
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  53,SL,SL,<->,288 DIST I-15: MP282 - 1200W, ,SL,SL, ,[DTS] DABS 31
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  54,SL,WH,<->,288 DIST I-15: MP282 - 1200W, ,SL,WH, ,[DTS] DABS 31
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  55,SL,RD,<->,6 DK CCTV: I-15 & MP282.43,   3,BL,GR,HUB3-2(REGION_3_OFFICE_1370W&800N),CH 3039
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  56,SL,BK,<->,6 DK CCTV: I-15 & MP282.43,   4,BL,BR,HUB3-2(REGION_3_OFFICE_1370W&800N),CH 3039
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  57,SL,YL,<->,288 DIST I-15: MP282 - 1200W, ,SL,YL, ,CH 3038
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  58,SL,VI,<->,288 DIST I-15: MP282 - 1200W, ,SL,VI, ,CH 3038
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  59,SL,RO,<->,288 DIST I-15: MP282 - 1200W, ,SL,RO, ,
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  60,SL,AQ,<->,288 DIST I-15: MP282 - 1200W, ,SL,AQ, ,
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  61,WH,BL,<->,288 DIST I-15: MP282 - 1200W, ,WH,BL, ,
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  62,WH,OR,<->,288 DIST I-15: MP282 - 1200W, ,WH,OR, ,
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  63,WH,GR,<->,72 DIST 1200W:,   9,BL,YL,SHED-3423-LEHI,[DTS] SHED 3423 (LEHI)
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  64,WH,BR,<->,72 DIST 1200W:,  10,BL,VI,SHED-3423-LEHI,[DTS] SHED 3423 (LEHI)
HUB3-8(BLUFFDALE_REDWOOD_RD),288 DIS I-15: 1200W - FRONTAGE RD,  65,WH,SL,<->,72 DIST 1200W:,  11,BL,RO,SHED-3423-LEHI,[ATMS] LEHI SHED
HUB3-8(BLUFFDALE_REDWOOD_RD),288 DIS I-15: 1200W - FRONTAGE RD,  66,WH,WH,<->,72 DIST 1200W:,  12,BL,AQ,SHED-3423-LEHI,[ATMS] LEHI SHED
SPSR-92SOUTH-3001.3.4,288 DIS I-15: 1200W - FRONTAGE RD,  67,WH,RD,<->,288 DIST I-15: MP282 - 1200W, ,WH,RD, ,
SPSR-92SOUTH-3001.3.4,288 DIS I-15: 1200W - FRONTAGE RD,  68,WH,BK,<->,288 DIST I-15: MP282 - 1200W, ,WH,BK, ,
SPSR-92SOUTH-3001.3.4,288 DIS I-15: 1200W - FRONTAGE RD,  69,WH,YL,<->,288 DIST I-15: MP282 - 1200W, ,WH,YL, ,
SPSR-92SOUTH-3001.3.4,288 DIS I-15: 1200W - FRONTAGE RD,  70,WH,VI,<->,288 DIST I-15: MP282 - 1200W, ,WH,VI, ,
SPSR-92SOUTH-3001.3.4,288 DIS I-15: 1200W - FRONTAGE RD,  71,WH,RO,<->,288 DIST I-15: MP282 - 1200W, ,WH,RO, ,
SPSR-92SOUTH-3001.3.4,288 DIS I-15: 1200W - FRONTAGE RD,  72,WH,AQ,<->,288 DIST I-15: MP282 - 1200W, ,WH,AQ, ,
HUB3-12(AF_CANYON&11000N),288 DIS I-15: 1200W - FRONTAGE RD,  73,RD,BL,<->,288 DIST I-15: MP282 - 1200W, ,RD,BL, ,[LEHI CITY] LEHI PUBLIC SAFETY
HUB3-12(AF_CANYON&11000N),288 DIS I-15: 1200W - FRONTAGE RD,  74,RD,OR,<->,288 DIST I-15: MP282 - 1200W, ,RD,OR, ,[LEHI CITY] LEHI PUBLIC SAFETY
HUB3-12(AF_CANYON&11000N),288 DIS I-15: 1200W - FRONTAGE RD,  75,RD,GR,<->,288 DIST I-15: MP282 - 1200W, ,RD,GR, ,
HUB3-12(AF_CANYON&11000N),288 DIS I-15: 1200W - FRONTAGE RD,  76,RD,BR,<->,288 DIST I-15: MP282 - 1200W, ,RD,BR, ,
HUB3-12(AF_CANYON&11000N),288 DIS I-15: 1200W - FRONTAGE RD,  77,RD,SL,<->,288 DIST I-15: MP282 - 1200W, ,RD,SL, ,
HUB3-12(AF_CANYON&11000N),288 DIS I-15: 1200W - FRONTAGE RD,  78,RD,WH,<->,288 DIST I-15: MP282 - 1200W, ,RD,WH, ,
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  79,RD,RD,<->,288 DIST I-15: MP282 - 1200W, ,RD,RD, ,CH 3001
HUB2-12(I-15&BANGERTER),288 DIS I-15: 1200W - FRONTAGE RD,  80,RD,BK,<->,288 DIST I-15: MP282 - 1200W, ,RD,BK, ,CH 3001
