Bentley Splice Report
Device Type: Splice  Model: Needs Verify Mid-Sheath  Name: SP-3022.4   ID: 655239065
Report Date: Thu May 14 12:08:09 2026

Location: 40.404532 -111.937309
Street:    City/St:    Pole #: 
Desc:    Splice#: SP-3022.4


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB3-8(BLUFFDALE_REDWOOD_RD),6-SMF DROP: MVC MP 3.1 & HARVEST MOON DR,   1,BL,BL,<->,144 DIST: 2100 N TO HARVEST HILLS,  17,OR,SL,HUB3-8(BLUFFDALE_REDWOOD_RD),CH 3022
HUB3-8(BLUFFDALE_REDWOOD_RD),6-SMF DROP: MVC MP 3.1 & HARVEST MOON DR,   2,BL,OR,<->,144 DIST: 2100 N TO HARVEST HILLS,  18,OR,WH,HUB3-8(BLUFFDALE_REDWOOD_RD),CH 3022
HUB3-8(BLUFFDALE_REDWOOD_RD),6-SMF DROP: MVC MP 3.1 & HARVEST MOON DR,   3,BL,GR,<->,144 DIST: 2100 N TO HARVEST HILLS,  17,OR,SL,HUB3-8(BLUFFDALE_REDWOOD_RD),CH 3022
HUB3-8(BLUFFDALE_REDWOOD_RD),6-SMF DROP: MVC MP 3.1 & HARVEST MOON DR,   4,BL,BR,<->,144 DIST: 2100 N TO HARVEST HILLS,  18,OR,WH,HUB3-8(BLUFFDALE_REDWOOD_RD),CH 3022


Right ---

HUB3-8(BLUFFDALE_REDWOOD_RD),144 DIST: 2100 N TO HARVEST HILLS,  17,OR,SL,<->,6-SMF DROP: MVC MP 3.1 & HARVEST MOON DR,   1,BL,BL,HUB3-8(BLUFFDALE_REDWOOD_RD),CH 3022
HUB3-8(BLUFFDALE_REDWOOD_RD),144 DIST: 2100 N TO HARVEST HILLS,  18,OR,WH,<->,6-SMF DROP: MVC MP 3.1 & HARVEST MOON DR,   2,BL,OR,HUB3-8(BLUFFDALE_REDWOOD_RD),CH 3022
HUB3-8(BLUFFDALE_REDWOOD_RD),144 DIST: 2100 N TO HARVEST HILLS,  17,OR,SL,<->,6-SMF DROP: MVC MP 3.1 & HARVEST MOON DR,   3,BL,GR,HUB3-8(BLUFFDALE_REDWOOD_RD),CH 3022
HUB3-8(BLUFFDALE_REDWOOD_RD),144 DIST: 2100 N TO HARVEST HILLS,  18,OR,WH,<->,6-SMF DROP: MVC MP 3.1 & HARVEST MOON DR,   4,BL,BR,HUB3-8(BLUFFDALE_REDWOOD_RD),CH 3022
