Bentley Splice Report
Device Type: Splice  Model: Needs Verify Mid-Sheath  Name: SP-2724.5   ID: 655515994
Report Date: Wed May 20 13:05:56 2026

Location: 40.696435 -112.038535
Street:    City/St:    Pole #: 
Desc:    Splice#: SP-2724.5


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB_2-17,6 DROP (TSC): 3500 S & GARDEN GATE RD,   1,BL,BL,<->,144-SMF 3500 S DIST,  11,BL,RO,HUB_2-17,CH 2724
HUB_2-17,6 DROP (TSC): 3500 S & GARDEN GATE RD,   2,BL,OR,<->,144-SMF 3500 S DIST,  12,BL,AQ,HUB_2-17,CH 2724
HUB_2-17,6 DROP (TSC): 3500 S & GARDEN GATE RD,   3,BL,GR,<->,144-SMF 3500 S DIST, ,BL,RO,HUB_2-17,CH 2724
HUB_2-17,6 DROP (TSC): 3500 S & GARDEN GATE RD,   4,BL,BR,<->,144-SMF 3500 S DIST, ,BL,AQ,HUB_2-17,CH 2724


Right ---

HUB_2-17,144-SMF 3500 S DIST,  11,BL,RO,<->,6 DROP (TSC): 3500 S & GARDEN GATE RD,   1,BL,BL,HUB_2-17,CH 2724
HUB_2-17,144-SMF 3500 S DIST,  12,BL,AQ,<->,6 DROP (TSC): 3500 S & GARDEN GATE RD,   2,BL,OR,HUB_2-17,CH 2724
HUB_2-17,144-SMF 3500 S DIST, ,BL,RO,<->,6 DROP (TSC): 3500 S & GARDEN GATE RD,   3,BL,GR,HUB_2-17,CH 2724
HUB_2-17,144-SMF 3500 S DIST, ,BL,AQ,<->,6 DROP (TSC): 3500 S & GARDEN GATE RD,   4,BL,BR,HUB_2-17,CH 2724
