Bentley Splice Report
Device Type: Splice  Model: Needs Verify Full  Name: I15NB&4500S-2-M   ID: 100031978
Report Date: Wed May 20 13:15:17 2026

Location: 40.674263 -111.900941
Street:    City/St:    Pole #: 
Desc:    Splice#: I15NB&4500S-2-M


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB2-10(3500_S),144-SMF 4700 S DIST: 500 W - I-15,   1,BL,BL,<->,24 DIST I-15 TO MAIN ST.,   1,BL,BL,HUB2-2(3900S),CH 2098
HUB2-10(3500_S),144-SMF 4700 S DIST: 500 W - I-15,   2,BL,OR,<->,24 DIST I-15 TO MAIN ST.,   2,BL,OR,HUB2-2(3900S),CH 2098
HUB2-10(3500_S),144-SMF 4700 S DIST: 500 W - I-15,   3,BL,GR,<->,24 DIST I-15 TO MAIN ST.,   3,BL,GR,HUB2-2(3900S),CH 2099
HUB2-10(3500_S),144-SMF 4700 S DIST: 500 W - I-15,   4,BL,BR,<->,24 DIST I-15 TO MAIN ST.,   4,BL,BR,HUB2-2(3900S),CH 2099
HUB2-10(3500_S),144-SMF 4700 S DIST: 500 W - I-15,   5,BL,SL,<->,24 DIST I-15 TO MAIN ST.,   5,BL,SL,HUB2-2(3900S),CH 2100
HUB2-10(3500_S),144-SMF 4700 S DIST: 500 W - I-15,   6,BL,WH,<->,24 DIST I-15 TO MAIN ST.,   6,BL,WH,HUB2-2(3900S),CH 2100
4500S&500W,144-SMF 4700 S DIST: 500 W - I-15,   7,BL,RD,<->,DK-6 I-15SPUI & 4500S,   3,BL,GR,HUB2-2(3900S),CH 2101
4500S&500W,144-SMF 4700 S DIST: 500 W - I-15,   8,BL,BK,<->,DK-6 I-15SPUI & 4500S,   4,BL,BR,HUB2-2(3900S),CH 2101
HUB2-10(3500_S),144-SMF 4700 S DIST: 500 W - I-15,   9,BL,YL,<->,24 DIST I-15 TO MAIN ST.,   9,BL,YL,HUB2-2(3900S),
HUB2-10(3500_S),144-SMF 4700 S DIST: 500 W - I-15,  10,BL,VI,<->,24 DIST I-15 TO MAIN ST.,  10,BL,VI,HUB2-2(3900S),
HUB2-10(3500_S),144-SMF 4700 S DIST: 500 W - I-15,  11,BL,RO,<->,24 DIST I-15 TO MAIN ST.,  11,BL,RO,HUB2-2(3900S),CH 2102
HUB2-10(3500_S),144-SMF 4700 S DIST: 500 W - I-15,  12,BL,AQ,<->,24 DIST I-15 TO MAIN ST.,  12,BL,AQ,HUB2-2(3900S),CH 2102
SP-2450.3,144-SMF 4700 S DIST: 500 W - I-15,  13,OR,BL,<->,24 DIST I-15 TO MAIN ST.,  13,OR,BL,SP-2101.2,
SP-2450.3,144-SMF 4700 S DIST: 500 W - I-15,  14,OR,OR,<->,24 DIST I-15 TO MAIN ST.,  14,OR,OR,SP-2101.2,
SP-2123.7,144-SMF 4700 S DIST: 500 W - I-15,  15,OR,GR,<->,24 DIST I-15 TO MAIN ST.,  15,OR,GR,SP-2101.2,
SP-2123.7,144-SMF 4700 S DIST: 500 W - I-15,  16,OR,BR,<->,24 DIST I-15 TO MAIN ST.,  16,OR,BR,SP-2101.2,
I-215&4700S,144-SMF 4700 S DIST: 500 W - I-15,  17,OR,SL,<->,24 DIST I-15 TO MAIN ST.,  17,OR,SL,SP-2101.2,
I-215&4700S,144-SMF 4700 S DIST: 500 W - I-15,  18,OR,WH,<->,24 DIST I-15 TO MAIN ST.,  18,OR,WH,SP-2101.2,
SP-2123.7,144-SMF 4700 S DIST: 500 W - I-15,  19,OR,RD,<->,24 DIST I-15 TO MAIN ST.,  19,OR,RD,SP-2101.2,
SP-2123.7,144-SMF 4700 S DIST: 500 W - I-15,  20,OR,BK,<->,24 DIST I-15 TO MAIN ST.,  20,OR,BK,SP-2101.2,
SP-2123.7,144-SMF 4700 S DIST: 500 W - I-15,  21,OR,YL,<->,24 DIST I-15 TO MAIN ST.,  21,OR,YL,SP-2101.2,
SP-2123.7,144-SMF 4700 S DIST: 500 W - I-15,  22,OR,VI,<->,24 DIST I-15 TO MAIN ST.,  22,OR,VI,SP-2101.2,
SP-2123.7,144-SMF 4700 S DIST: 500 W - I-15,  23,OR,RO,<->,24 DIST I-15 TO MAIN ST.,  23,OR,RO,SP-2101.2,
SP-2123.7,144-SMF 4700 S DIST: 500 W - I-15,  24,OR,AQ,<->,24 DIST I-15 TO MAIN ST.,  24,OR,AQ,SP-2101.2,
4500S&500W,DK6-4500S & 300W,   1,BL,BL,<->,24 DIST I-15 TO MAIN ST.,   7,BL,RD,HUB2-2(3900S),CH 2101
4500S&500W,DK6-4500S & 300W,   2,BL,OR,<->,24 DIST I-15 TO MAIN ST.,   8,BL,BK,HUB2-2(3900S),CH 2101
HUB2-2(3900S),DK6-4500S & 300W,   3,BL,GR,<->,DK-6 I-15SPUI & 4500S,   1,BL,BL,4500S&500W,CH 2101
HUB2-2(3900S),DK6-4500S & 300W,   4,BL,BR,<->,DK-6 I-15SPUI & 4500S,   2,BL,OR,4500S&500W,CH 2101


Right ---

HUB2-2(3900S),24 DIST I-15 TO MAIN ST.,   1,BL,BL,<->,144-SMF 4700 S DIST: 500 W - I-15,   1,BL,BL,HUB2-10(3500_S),CH 2098
HUB2-2(3900S),24 DIST I-15 TO MAIN ST.,   2,BL,OR,<->,144-SMF 4700 S DIST: 500 W - I-15,   2,BL,OR,HUB2-10(3500_S),CH 2098
HUB2-2(3900S),24 DIST I-15 TO MAIN ST.,   3,BL,GR,<->,144-SMF 4700 S DIST: 500 W - I-15,   3,BL,GR,HUB2-10(3500_S),CH 2099
HUB2-2(3900S),24 DIST I-15 TO MAIN ST.,   4,BL,BR,<->,144-SMF 4700 S DIST: 500 W - I-15,   4,BL,BR,HUB2-10(3500_S),CH 2099
HUB2-2(3900S),24 DIST I-15 TO MAIN ST.,   5,BL,SL,<->,144-SMF 4700 S DIST: 500 W - I-15,   5,BL,SL,HUB2-10(3500_S),CH 2100
HUB2-2(3900S),24 DIST I-15 TO MAIN ST.,   6,BL,WH,<->,144-SMF 4700 S DIST: 500 W - I-15,   6,BL,WH,HUB2-10(3500_S),CH 2100
HUB2-2(3900S),24 DIST I-15 TO MAIN ST.,   7,BL,RD,<->,DK6-4500S & 300W,   1,BL,BL,4500S&500W,CH 2101
HUB2-2(3900S),24 DIST I-15 TO MAIN ST.,   8,BL,BK,<->,DK6-4500S & 300W,   2,BL,OR,4500S&500W,CH 2101
HUB2-2(3900S),24 DIST I-15 TO MAIN ST.,   9,BL,YL,<->,144-SMF 4700 S DIST: 500 W - I-15,   9,BL,YL,HUB2-10(3500_S),
HUB2-2(3900S),24 DIST I-15 TO MAIN ST.,  10,BL,VI,<->,144-SMF 4700 S DIST: 500 W - I-15,  10,BL,VI,HUB2-10(3500_S),
HUB2-2(3900S),24 DIST I-15 TO MAIN ST.,  11,BL,RO,<->,144-SMF 4700 S DIST: 500 W - I-15,  11,BL,RO,HUB2-10(3500_S),CH 2102
HUB2-2(3900S),24 DIST I-15 TO MAIN ST.,  12,BL,AQ,<->,144-SMF 4700 S DIST: 500 W - I-15,  12,BL,AQ,HUB2-10(3500_S),CH 2102
SP-2101.2,24 DIST I-15 TO MAIN ST.,  13,OR,BL,<->,144-SMF 4700 S DIST: 500 W - I-15,  13,OR,BL,SP-2450.3,
SP-2101.2,24 DIST I-15 TO MAIN ST.,  14,OR,OR,<->,144-SMF 4700 S DIST: 500 W - I-15,  14,OR,OR,SP-2450.3,
SP-2101.2,24 DIST I-15 TO MAIN ST.,  15,OR,GR,<->,144-SMF 4700 S DIST: 500 W - I-15,  15,OR,GR,SP-2123.7,
SP-2101.2,24 DIST I-15 TO MAIN ST.,  16,OR,BR,<->,144-SMF 4700 S DIST: 500 W - I-15,  16,OR,BR,SP-2123.7,
SP-2101.2,24 DIST I-15 TO MAIN ST.,  17,OR,SL,<->,144-SMF 4700 S DIST: 500 W - I-15,  17,OR,SL,I-215&4700S,
SP-2101.2,24 DIST I-15 TO MAIN ST.,  18,OR,WH,<->,144-SMF 4700 S DIST: 500 W - I-15,  18,OR,WH,I-215&4700S,
SP-2101.2,24 DIST I-15 TO MAIN ST.,  19,OR,RD,<->,144-SMF 4700 S DIST: 500 W - I-15,  19,OR,RD,SP-2123.7,
SP-2101.2,24 DIST I-15 TO MAIN ST.,  20,OR,BK,<->,144-SMF 4700 S DIST: 500 W - I-15,  20,OR,BK,SP-2123.7,
SP-2101.2,24 DIST I-15 TO MAIN ST.,  21,OR,YL,<->,144-SMF 4700 S DIST: 500 W - I-15,  21,OR,YL,SP-2123.7,
SP-2101.2,24 DIST I-15 TO MAIN ST.,  22,OR,VI,<->,144-SMF 4700 S DIST: 500 W - I-15,  22,OR,VI,SP-2123.7,
SP-2101.2,24 DIST I-15 TO MAIN ST.,  23,OR,RO,<->,144-SMF 4700 S DIST: 500 W - I-15,  23,OR,RO,SP-2123.7,
SP-2101.2,24 DIST I-15 TO MAIN ST.,  24,OR,AQ,<->,144-SMF 4700 S DIST: 500 W - I-15,  24,OR,AQ,SP-2123.7,
4500S&500W,DK-6 I-15SPUI & 4500S,   1,BL,BL,<->,DK6-4500S & 300W,   3,BL,GR,HUB2-2(3900S),CH 2101
4500S&500W,DK-6 I-15SPUI & 4500S,   2,BL,OR,<->,DK6-4500S & 300W,   4,BL,BR,HUB2-2(3900S),CH 2101
HUB2-2(3900S),DK-6 I-15SPUI & 4500S,   3,BL,GR,<->,144-SMF 4700 S DIST: 500 W - I-15,   7,BL,RD,4500S&500W,CH 2101
HUB2-2(3900S),DK-6 I-15SPUI & 4500S,   4,BL,BR,<->,144-SMF 4700 S DIST: 500 W - I-15,   8,BL,BK,4500S&500W,CH 2101
