Bentley Splice Report
Device Type: Splice  Model: UDOT SPEC Full  Name: I-215&4700S   ID: 100032993
Report Date: Thu May 21 12:55:38 2026

Location: 40.668017 -111.953474
Street: TAYLORSVILLE   City/St:    Pole #: 
Desc:    Splice#: I-215&4700S


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB2-10(3500_S),6DK 4700S W & I-215,   1,BL,BL,<->,DIST72I-215W SP2301.5 TO 4700S,  25,GR,BL,HUB2-8(I-215&700_W),CH 2130
HUB2-10(3500_S),6DK 4700S W & I-215,   2,BL,OR,<->,DIST72I-215W SP2301.5 TO 4700S,  26,GR,OR,HUB2-8(I-215&700_W),CH 2130
HUB2-8(I-215&700_W),6DK 4700S W & I-215,   3,BL,GR,<->,DIST 18 4700 S W I-215,   1,BL,BL,HUB2-10(3500_S),CH 2130
HUB2-8(I-215&700_W),6DK 4700S W & I-215,   4,BL,BR,<->,DIST 18 4700 S W I-215,   2,BL,OR,HUB2-10(3500_S),CH 2130
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,   1,BL,BL,<->,DIST72I-215W SP2301.5 TO 4700S,   1,BL,BL,HUB2-8(I-215&700_W),CH 2300
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,   2,BL,OR,<->,DIST72I-215W SP2301.5 TO 4700S,   2,BL,OR,HUB2-8(I-215&700_W),CH 2300
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,   3,BL,GR,<->,DIST72I-215W SP2301.5 TO 4700S,   3,BL,GR,HUB2-8(I-215&700_W),CH 2301
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,   4,BL,BR,<->,DIST72I-215W SP2301.5 TO 4700S,   4,BL,BR,HUB2-8(I-215&700_W),CH 2301
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,   5,BL,SL,<->,12SMF TO NB ON RAMP,   3,BL,GR,HUB2-8(I-215&700_W),CH 2302
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,   6,BL,WH,<->,12SMF TO NB ON RAMP,   4,BL,BR,HUB2-8(I-215&700_W),CH 2302
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,   7,BL,RD,<->,DIST72I-215W SP2301.5 TO 4700S,   7,BL,RD,C@215WB-1300W,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,   8,BL,BK,<->,DIST72I-215W SP2301.5 TO 4700S,   8,BL,BK,C@215WB-1300W,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,   9,BL,YL,<->,DIST72I-215W SP2301.5 TO 4700S,   9,BL,YL,I215WSB5100S,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  10,BL,VI,<->,DIST72I-215W SP2301.5 TO 4700S,  10,BL,VI,I215WSB5100S,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  11,BL,RO,<->,DIST72I-215W SP2301.5 TO 4700S,  11,BL,RO,HUB2-8(I-215&700_W),CH 2400
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  12,BL,AQ,<->,DIST72I-215W SP2301.5 TO 4700S,  12,BL,AQ,HUB2-8(I-215&700_W),CH 2400
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  13,OR,BL,<->,DIST72I-215W SP2301.5 TO 4700S,  13,OR,BL,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  14,OR,OR,<->,DIST72I-215W SP2301.5 TO 4700S,  14,OR,OR,C@215EB-1050W,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  15,OR,GR,<->,DIST72I-215W SP2301.5 TO 4700S,  15,OR,GR,C@215WB-1300W,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  16,OR,BR,<->,DIST72I-215W SP2301.5 TO 4700S,  16,OR,BR,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  17,OR,SL,<->,DIST72I-215W SP2301.5 TO 4700S,  17,OR,SL,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  18,OR,WH,<->,DIST72I-215W SP2301.5 TO 4700S,  18,OR,WH,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  19,OR,RD,<->,DIST72I-215W SP2301.5 TO 4700S,  19,OR,RD,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  20,OR,BK,<->,DIST72I-215W SP2301.5 TO 4700S,  20,OR,BK,I215WSB5100S,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  21,OR,YL,<->,DIST72I-215W SP2301.5 TO 4700S,  21,OR,YL,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  22,OR,VI,<->,DIST72I-215W SP2301.5 TO 4700S,  22,OR,VI,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  23,OR,RO,<->,DIST72I-215W SP2301.5 TO 4700S,  23,OR,RO,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  24,OR,AQ,<->,DIST72I-215W SP2301.5 TO 4700S,  24,OR,AQ,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  25,GR,BL,<->,24-SMF DIST ALONG I-215 RAMPS, ,BL,BL, ,CH 2098
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  26,GR,OR,<->,24-SMF DIST ALONG I-215 RAMPS, ,BL,OR, ,CH 2098
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  27,GR,GR,<->,24-SMF DIST ALONG I-215 RAMPS, ,BL,GR, ,CH 2099
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  28,GR,BR,<->,24-SMF DIST ALONG I-215 RAMPS, ,BL,BR, ,CH 2099
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  29,GR,SL,<->,24-SMF DIST ALONG I-215 RAMPS, ,BL,SL, ,CH 2100
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  30,GR,WH,<->,24-SMF DIST ALONG I-215 RAMPS, ,BL,WH, ,CH 2100
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  31,GR,RD,<->,24-SMF DIST ALONG I-215 RAMPS, ,BL,RD, ,CH 2102
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  32,GR,BK,<->,24-SMF DIST ALONG I-215 RAMPS, ,BL,BK, ,CH 2102
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  33,GR,YL,<->,24-SMF DIST ALONG I-215 RAMPS, ,BL,YL, ,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  34,GR,VI,<->,24-SMF DIST ALONG I-215 RAMPS, ,BL,VI, ,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  35,GR,RO,<->,DIST72I-215W SP2301.5 TO 4700S,  35,GR,RO,HUB2-8(I-215&700_W),CH 2131
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  36,GR,AQ,<->,DIST72I-215W SP2301.5 TO 4700S,  36,GR,AQ,HUB2-8(I-215&700_W),CH 2131
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  37,BR,BL,<->,DIST72I-215W SP2301.5 TO 4700S,  37,BR,BL,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  38,BR,OR,<->,DIST72I-215W SP2301.5 TO 4700S,  38,BR,OR,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  39,BR,GR,<->,DIST72I-215W SP2301.5 TO 4700S,  39,BR,GR,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  40,BR,BR,<->,DIST72I-215W SP2301.5 TO 4700S,  40,BR,BR,HUB2-8(I-215&700_W),
I-215&4100S,288-SMF DIST I-215: 4700 S - COMPLEX,  41,BR,SL,<->,DIST72I-215W SP2301.5 TO 4700S,  41,BR,SL,HUB2-8(I-215&700_W),
I-215&4100S,288-SMF DIST I-215: 4700 S - COMPLEX,  42,BR,WH,<->,DIST72I-215W SP2301.5 TO 4700S,  42,BR,WH,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  43,BR,RD,<->,DIST72I-215W SP2301.5 TO 4700S,  43,BR,RD,SP-2120.7,CH 2118
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  44,BR,BK,<->,DIST72I-215W SP2301.5 TO 4700S,  44,BR,BK,SP-2120.7,CH 2118
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  45,BR,YL,<->,DIST72I-215W SP2301.5 TO 4700S,  45,BR,YL,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  46,BR,VI,<->,DIST72I-215W SP2301.5 TO 4700S,  46,BR,VI,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  47,BR,RO,<->,DIST72I-215W SP2301.5 TO 4700S,  47,BR,RO,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  48,BR,AQ,<->,DIST72I-215W SP2301.5 TO 4700S,  48,BR,AQ,SP2123.1,
I-215&4100S,288-SMF DIST I-215: 4700 S - COMPLEX,  49,SL,BL,<->,DIST72I-215W SP2301.5 TO 4700S,  49,SL,BL,SP2123.1,
I-215&4100S,288-SMF DIST I-215: 4700 S - COMPLEX,  50,SL,OR,<->,DIST72I-215W SP2301.5 TO 4700S,  50,SL,OR,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  51,SL,GR,<->,DIST72I-215W SP2301.5 TO 4700S,  51,SL,GR,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  52,SL,BR,<->,DIST72I-215W SP2301.5 TO 4700S,  52,SL,BR,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  53,SL,SL,<->,DIST72I-215W SP2301.5 TO 4700S,  53,SL,SL,HUB_2-17,[DTS] DABS 26,[DTS] DABS 26
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  54,SL,WH,<->,DIST72I-215W SP2301.5 TO 4700S,  54,SL,WH,HUB_2-17,[DTS] DABS 26,[DTS] DABS 26
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  55,SL,RD,<->,DIST72I-215W SP2301.5 TO 4700S,  55,SL,RD,HUB2-8(I-215&700_W),CH 2199
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  56,SL,BK,<->,DIST72I-215W SP2301.5 TO 4700S,  56,SL,BK,HUB2-8(I-215&700_W),CH 2199
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  57,SL,YL,<->,DIST72I-215W SP2301.5 TO 4700S,  57,SL,YL,HUB2-12(I-15&BANGERTER),CH 2214
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  58,SL,VI,<->,DIST72I-215W SP2301.5 TO 4700S,  58,SL,VI,HUB2-12(I-15&BANGERTER),CH 2214
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  59,SL,RO,<->,DIST72I-215W SP2301.5 TO 4700S,  59,SL,RO,HUB2-7(9000_S),CH 2710
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  60,SL,AQ,<->,DIST72I-215W SP2301.5 TO 4700S,  60,SL,AQ,HUB2-7(9000_S),CH 2710
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  61,WH,BL,<->,DIST72I-215W SP2301.5 TO 4700S,  61,WH,BL,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  62,WH,OR,<->,DIST72I-215W SP2301.5 TO 4700S,  62,WH,OR,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  65,WH,SL,<->,DIST 18 4700 S W I-215,  11,OR,SL,SP-2129.2.3.4,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  66,WH,WH,<->,DIST 18 4700 S W I-215,  12,OR,WH,SP-2129.2.3.4,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  67,WH,RD,<->,DIST72I-215W SP2301.5 TO 4700S,  67,WH,RD,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  68,WH,BK,<->,DIST72I-215W SP2301.5 TO 4700S,  68,WH,BK,SP2123.1,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  69,WH,YL,<->,DIST 18 4700 S W I-215,  15,GR,GR,HUB2-8(I-215&700_W),CH 2129
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  70,WH,VI,<->,DIST 18 4700 S W I-215,  16,GR,BR,HUB2-8(I-215&700_W),CH 2129
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  71,WH,RO,<->,DIST 18 4700 S W I-215,  17,GR,SL,SP-2129.2.3.4,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  72,WH,AQ,<->,DIST 18 4700 S W I-215,  18,GR,WH,SP-2129.2.3.4,
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  73,RD,BL,<->,48-SMF BB: HUB 2-08 - 2-10, ,BL,BL,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  74,RD,OR,<->,48-SMF BB: HUB 2-08 - 2-10, ,BL,OR,HUB2-8(I-215&700_W),
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  75,RD,GR,<->,48-SMF BB: HUB 2-08 - 2-10, ,BL,GR,HUB2-8(I-215&700_W),[HORROCKS] 2-08 - 2-09
HUB2-10(3500_S),288-SMF DIST I-215: 4700 S - COMPLEX,  76,RD,BR,<->,48-SMF BB: HUB 2-08 - 2-10, ,BL,BR,HUB2-8(I-215&700_W),[HORROCKS] 2-08 - 2-09
