Bentley Splice Report
Device Type: Splice  Model: UDOT SPEC Full  Name: SPI-215&I-80   ID: 654013009
Report Date: Fri May 22 10:16:31 2026

Location: 40.764258 -111.946988
Street:    City/St:    Pole #: 
Desc:    Splice#: SPI-215&I-80


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,   1,BL,BL,<->,I-215 W 24 N TO N.TEMPLE, ,BL,BL, ,CH 2304
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,   2,BL,OR,<->,I-215 W 24 N TO N.TEMPLE, ,BL,OR, ,CH 2304
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,   3,BL,GR,<->,I-215 W 24 N TO N.TEMPLE, ,BL,GR, ,CH 2307
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,   4,BL,BR,<->,I-215 W 24 N TO N.TEMPLE, ,BL,BR, ,CH 2307
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,   7,BL,RD,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,   5,BL,SL,HUB2-4(200S&1200W),
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,   8,BL,BK,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,   6,BL,WH,HUB2-4(200S&1200W),
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  13,OR,BL,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE,  21,OR,YL,HUB2-4(200S&1200W),CH 2305
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  14,OR,OR,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE,  22,OR,VI,HUB2-4(200S&1200W),CH 2305
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  15,OR,GR,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE,  23,OR,RO,HUB2-4(200S&1200W),CH 2306
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  16,OR,BR,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE,  24,OR,AQ,HUB2-4(200S&1200W),CH 2306
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  17,OR,SL,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE,  25,GR,BL,SP-5600WI-80,
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  18,OR,WH,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE,  26,GR,OR,SP-5600WI-80,
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  19,OR,RD,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE,  19,OR,RD,HUB2-4(200S&1200W),CH 2402
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  20,OR,BK,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE,  20,OR,BK,HUB2-4(200S&1200W),CH 2402
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  24,OR,AQ,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE,  13,OR,BL,HUB2-18(TOOELE_I-80&SR-36),[ATMS BB] 2-06 - 2-18
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  25,GR,BL,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE,  15,OR,GR,HUB2-18(TOOELE_I-80&SR-36),[ATMS BB] 2-06 - 2-18
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  27,GR,GR,<->,I-215 W 24 N TO N.TEMPLE, ,BL,SL, ,CH 2356
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  28,GR,BR,<->,I-215 W 24 N TO N.TEMPLE, ,BL,WH, ,CH 2356
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  29,GR,SL,<->,I-215 W 24 N TO N.TEMPLE, ,BL,RD, ,[ATMS] AERONAUTICS
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  30,GR,WH,<->,I-215 W 24 N TO N.TEMPLE, ,BL,BK, ,[ATMS] AERONAUTICS
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  31,GR,RD,<->,I-215 W 24 N TO N.TEMPLE, ,BL,YL, ,[DTS] AERONAUTICS
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  32,GR,BK,<->,I-215 W 24 N TO N.TEMPLE, ,BL,VI, ,[DTS] AERONAUTICS
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  33,GR,YL,<->,I-215 W 24 N TO N.TEMPLE, ,BL,RO, ,CH 2155
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  34,GR,VI,<->,I-215 W 24 N TO N.TEMPLE, ,BL,AQ, ,CH 2155
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  35,GR,RO,<->,I-215 W 24 N TO N.TEMPLE, ,OR,BL, ,CH 2154
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  36,GR,AQ,<->,I-215 W 24 N TO N.TEMPLE, ,OR,OR, ,CH 2154
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  37,BR,BL,<->,I-215 W 24 N TO N.TEMPLE, ,OR,GR, ,CH 2009
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  38,BR,OR,<->,I-215 W 24 N TO N.TEMPLE, ,OR,BR, ,CH 2009
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  39,BR,GR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  25,GR,BL,HUB2-4(200S&1200W),
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  40,BR,BR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  26,GR,OR,HUB2-4(200S&1200W),
SP2402.1,288-SMF I-215 DIST: 500 S - I-80,  41,BR,SL,<->,I-215 W 24 N TO N.TEMPLE, ,OR,RD, ,[DTS] 2-09 - STATE TAX BLDG
SP2402.1,288-SMF I-215 DIST: 500 S - I-80,  42,BR,WH,<->,I-215 W 24 N TO N.TEMPLE, ,OR,BK, ,[DTS] 2-09 - STATE TAX BLDG
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  43,BR,RD,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE,  31,GR,RD,HUB2-4(200S&1200W),CH 2004
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: 500 S - I-80,  44,BR,BK,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE,  32,GR,BK,HUB2-4(200S&1200W),CH 2004
SLC-FLEET,288-SMF I-215 DIST: 500 S - I-80,  47,BR,RO,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  39,BR,GR,HUB2-4(200S&1200W),[DTS] SLC FLEET
SLC-FLEET,288-SMF I-215 DIST: 500 S - I-80,  48,BR,AQ,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  40,BR,BR,HUB2-4(200S&1200W),[DTS] SLC FLEET
ORANGE_ST_CCC,12-SMF DROP (DTS): ORANGE ST CCC,   1,BL,BL,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  37,BR,BL,HUB2-4(200S&1200W),[DTS] ORANGE ST CCC
ORANGE_ST_CCC,12-SMF DROP (DTS): ORANGE ST CCC,   2,BL,OR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  38,BR,OR,HUB2-4(200S&1200W),[DTS] ORANGE ST CCC
HUB2-6(CALIFORNIA_AVE),6 DROP (CCTV): I-215 NB & I-80 (NE CORNER),   1,BL,BL,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,   1,BL,BL,HUB2-4(200S&1200W),CH 2305
HUB2-6(CALIFORNIA_AVE),6 DROP (CCTV): I-215 NB & I-80 (NE CORNER),   2,BL,OR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,   2,BL,OR,HUB2-4(200S&1200W),CH 2305
HUB2-4(200S&1200W),6 DROP (CCTV): I-215 NB & I-80 (NE CORNER),   3,BL,GR,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE,   1,BL,BL,HUB2-6(CALIFORNIA_AVE),CH 2305
HUB2-4(200S&1200W),6 DROP (CCTV): I-215 NB & I-80 (NE CORNER),   4,BL,BR,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE,   2,BL,OR,HUB2-6(CALIFORNIA_AVE),CH 2305
CONNEXT-I215/80,12-SMF UDOT/CONNEXT TIE,   1,BL,BL,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,   7,BL,RD,HUB2-4(200S&1200W),[CONNEXT] 2-04 - I-215 & I-80
CONNEXT-I215/80,12-SMF UDOT/CONNEXT TIE,   2,BL,OR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,   8,BL,BK,HUB2-4(200S&1200W),[CONNEXT] 2-04 - I-215 & I-80
CONNEXT-I215/80,12-SMF UDOT/CONNEXT TIE,   3,BL,GR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,   9,BL,YL,2402.4&2305.1,
CONNEXT-I215/80,12-SMF UDOT/CONNEXT TIE,   4,BL,BR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  10,BL,VI,HUB2-4(200S&1200W),[CONNEXT] 2-04 - I-215 & I-80
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,   1,BL,BL,<->,288-SMF I-215 DIST: 500 S - I-80, ,BL,BL, ,
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,   2,BL,OR,<->,288-SMF I-215 DIST: 500 S - I-80, ,BL,OR, ,
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,   3,BL,GR,<->,288-SMF I-215 DIST: 500 S - I-80, ,BL,GR, ,
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,   4,BL,BR,<->,288-SMF I-215 DIST: 500 S - I-80, ,BL,BR, ,
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,   5,BL,SL,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,GR, ,
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,   6,BL,WH,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,BR, ,
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,   7,BL,RD,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,SL, ,
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,   8,BL,BK,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,WH, ,
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,   9,BL,YL,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,RD, ,
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,  10,BL,VI,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,BK, ,
HUB2-4(200S&1200W),I-215 W 24 N TO N.TEMPLE,  11,BL,RO,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,YL, ,
HUB2-4(200S&1200W),I-215 W 24 N TO N.TEMPLE,  12,BL,AQ,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,VI, ,
HUB2-4(200S&1200W),I-215 W 24 N TO N.TEMPLE,  13,OR,BL,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,RO, ,
HUB2-4(200S&1200W),I-215 W 24 N TO N.TEMPLE,  14,OR,OR,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,AQ, ,
HUB2-4(200S&1200W),I-215 W 24 N TO N.TEMPLE,  15,OR,GR,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,BL, ,CH 2009
HUB2-4(200S&1200W),I-215 W 24 N TO N.TEMPLE,  16,OR,BR,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,OR, ,CH 2009
HUB2-6(CALIFORNIA_AVE),I-215 W 24 N TO N.TEMPLE,  17,OR,SL,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  23,OR,RO,HUB2-4(200S&1200W),CH 2009
HUB2-6(CALIFORNIA_AVE),I-215 W 24 N TO N.TEMPLE,  18,OR,WH,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  24,OR,AQ,HUB2-4(200S&1200W),CH 2009
STATE_TAX_BLDG,I-215 W 24 N TO N.TEMPLE,  19,OR,RD,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,SL, ,
STATE_TAX_BLDG,I-215 W 24 N TO N.TEMPLE,  20,OR,BK,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,WH, ,
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,  21,OR,YL,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  41,BR,SL,HUB2-4(200S&1200W),CH 2454
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,  22,OR,VI,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  42,BR,WH,HUB2-4(200S&1200W),CH 2454
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,  23,OR,RO,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  43,BR,RD,HUB2-4(200S&1200W),[DTS] JORDAN RIVER OHV PARK
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,  24,OR,AQ,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  44,BR,BK,HUB2-4(200S&1200W),[DTS] JORDAN RIVER OHV PARK


Right ---

HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,   1,BL,BL,<->,6 DROP (CCTV): I-215 NB & I-80 (NE CORNER),   1,BL,BL,HUB2-6(CALIFORNIA_AVE),CH 2305
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,   2,BL,OR,<->,6 DROP (CCTV): I-215 NB & I-80 (NE CORNER),   2,BL,OR,HUB2-6(CALIFORNIA_AVE),CH 2305
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,   5,BL,SL,<->,288-SMF I-215 DIST: 500 S - I-80,   7,BL,RD,HUB2-6(CALIFORNIA_AVE),
