Bentley Splice Report
Device Type: Splice  Model: Needs Verify Mid-Sheath  Name: STATE_OFFICE   ID: 654851126
Report Date: Thu May 21 13:45:27 2026

Location: 40.676379 -111.952771
Street:    City/St:    Pole #: 
Desc:    Splice#: STATE_OFFICE


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB2-10(3500_S),6 DROP: I-215 SB MP 16.10,   1,BL,BL,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE,   5,BL,SL,HUB2-8(I-215&700_W),CH 2302
HUB2-10(3500_S),6 DROP: I-215 SB MP 16.10,   2,BL,OR,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE,   6,BL,WH,HUB2-8(I-215&700_W),CH 2302
HUB2-8(I-215&700_W),6 DROP: I-215 SB MP 16.10,   3,BL,GR,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S,   5,BL,SL,HUB2-10(3500_S),CH 2302
HUB2-8(I-215&700_W),6 DROP: I-215 SB MP 16.10,   4,BL,BR,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S,   6,BL,WH,HUB2-10(3500_S),CH 2302
TSOB,UDOT 24-SMF,   1,BL,BL,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S,  97,YL,BL,HUB2-10(3500_S),[DTS] CIENA TSOB
TSOB,UDOT 24-SMF,   2,BL,OR,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S,  98,YL,OR,HUB2-10(3500_S),[DTS] CIENA TSOB
TSOB,UDOT 24-SMF,   3,BL,GR,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S,  99,YL,GR,HUB2-10(3500_S),[ATMS] GCP TSOB
TSOB,UDOT 24-SMF,   4,BL,BR,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 100,YL,BR,HUB2-10(3500_S),[ATMS] GCP TSOB
TSOB,UDOT 24-SMF,   5,BL,SL,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 101,YL,SL,HUB2-10(3500_S),
TSOB,UDOT 24-SMF,   6,BL,WH,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 102,YL,WH,HUB2-10(3500_S),
TSOB,UDOT 24-SMF,   7,BL,RD,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 103,YL,RD,HUB2-10(3500_S),
TSOB,UDOT 24-SMF,   8,BL,BK,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 104,YL,BK,HUB2-10(3500_S),
TSOB,UDOT 24-SMF,   9,BL,YL,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 105,YL,YL,HUB2-10(3500_S),
TSOB,UDOT 24-SMF,  10,BL,VI,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 106,YL,VI,HUB2-10(3500_S),
TSOB,UDOT 24-SMF,  11,BL,RO,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 107,YL,RO,HUB2-10(3500_S),
TSOB,UDOT 24-SMF,  12,BL,AQ,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 108,YL,AQ,HUB2-10(3500_S),
TSOB,UDOT 24-SMF,  13,OR,BL,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE,  97,YL,BL,HUB2-8(I-215&700_W),
TSOB,UDOT 24-SMF,  14,OR,OR,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE,  98,YL,OR,HUB2-8(I-215&700_W),
TSOB,UDOT 24-SMF,  15,OR,GR,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE,  99,YL,GR,HUB2-8(I-215&700_W),
TSOB,UDOT 24-SMF,  16,OR,BR,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 100,YL,BR,HUB2-8(I-215&700_W),
TSOB,UDOT 24-SMF,  17,OR,SL,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 101,YL,SL,HUB2-8(I-215&700_W),
TSOB,UDOT 24-SMF,  18,OR,WH,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 102,YL,WH,HUB2-8(I-215&700_W),
TSOB,UDOT 24-SMF,  19,OR,RD,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 103,YL,RD,HUB2-8(I-215&700_W),
TSOB,UDOT 24-SMF,  20,OR,BK,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 104,YL,BK,HUB2-8(I-215&700_W),
TSOB,UDOT 24-SMF,  21,OR,YL,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 105,YL,YL,HUB2-8(I-215&700_W),
TSOB,UDOT 24-SMF,  22,OR,VI,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 106,YL,VI,HUB2-8(I-215&700_W),
TSOB,UDOT 24-SMF,  23,OR,RO,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 107,YL,RO,HUB2-8(I-215&700_W),
TSOB,UDOT 24-SMF,  24,OR,AQ,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 108,YL,AQ,HUB2-8(I-215&700_W),
TSOB,144-SMF: TSOB - I-215,   1,BL,BL,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 277,AQ-BK,BL,SLCC_BUILDING_(UETN),[DTS] TSOB EAST-NORTH - SLCC
TSOB,144-SMF: TSOB - I-215,   2,BL,OR,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 278,AQ-BK,OR,SLCC_BUILDING_(UETN),[DTS] TSOB EAST-NORTH - SLCC
TSOB,144-SMF: TSOB - I-215,   3,BL,GR,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 279,AQ-BK,GR,HUB2-10(3500_S),
TSOB,144-SMF: TSOB - I-215,   4,BL,BR,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 280,AQ-BK,BR,HUB2-10(3500_S),
TSOB,144-SMF: TSOB - I-215,   5,BL,SL,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 281,AQ-BK,SL,HUB2-10(3500_S),
TSOB,144-SMF: TSOB - I-215,   6,BL,WH,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 282,AQ-BK,WH,HUB2-10(3500_S),
TSOB,144-SMF: TSOB - I-215,   7,BL,RD,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 283,AQ-BK,RD,HUB2-10(3500_S),
TSOB,144-SMF: TSOB - I-215,   8,BL,BK,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 284,AQ-BK,BK,HUB2-10(3500_S),
TSOB,144-SMF: TSOB - I-215,   9,BL,YL,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 285,AQ-BK,YL,HUB2-10(3500_S),
TSOB,144-SMF: TSOB - I-215,  10,BL,VI,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 286,AQ-BK,VI,HUB2-10(3500_S),
TSOB,144-SMF: TSOB - I-215,  11,BL,RO,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 287,AQ-BK,RO,HUB2-10(3500_S),
TSOB,144-SMF: TSOB - I-215,  12,BL,AQ,<->,288-SMF DIST I-215: STATE OFFICE - 4240 S, 288,AQ-BK,AQ,HUB2-10(3500_S),
TSOB,144-SMF: TSOB - I-215,  13,OR,BL,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 277,AQ-BK,BL,SLCC_BUILDING_(UETN),[DTS] TSOB EAST-SOUTH - SLCC
TSOB,144-SMF: TSOB - I-215,  14,OR,OR,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 278,AQ-BK,OR,SLCC_BUILDING_(UETN),[DTS] TSOB EAST-SOUTH - SLCC
TSOB,144-SMF: TSOB - I-215,  15,OR,GR,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 279,AQ-BK,GR,SLCC_BUILDING_(UETN),[DTS] TSOB EAST-SOUTH - SLCC
TSOB,144-SMF: TSOB - I-215,  16,OR,BR,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 280,AQ-BK,BR,SLCC_BUILDING_(UETN),[DTS] TSOB EAST-SOUTH - SLCC
TSOB,144-SMF: TSOB - I-215,  17,OR,SL,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 281,AQ-BK,SL,I-215&4700S,
TSOB,144-SMF: TSOB - I-215,  18,OR,WH,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 282,AQ-BK,WH,I-215&4700S,
TSOB,144-SMF: TSOB - I-215,  19,OR,RD,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 283,AQ-BK,RD,I-215&4700S,
TSOB,144-SMF: TSOB - I-215,  20,OR,BK,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 284,AQ-BK,BK,I-215&4700S,
TSOB,144-SMF: TSOB - I-215,  21,OR,YL,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 285,AQ-BK,YL,I-215&4700S,
TSOB,144-SMF: TSOB - I-215,  22,OR,VI,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 286,AQ-BK,VI,I-215&4700S,
TSOB,144-SMF: TSOB - I-215,  23,OR,RO,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 287,AQ-BK,RO,I-215&4700S,
TSOB,144-SMF: TSOB - I-215,  24,OR,AQ,<->,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 288,AQ-BK,AQ,I-215&4700S,


Right ---

HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE,   5,BL,SL,<->,6 DROP: I-215 SB MP 16.10,   1,BL,BL,HUB2-10(3500_S),CH 2302
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE,   6,BL,WH,<->,6 DROP: I-215 SB MP 16.10,   2,BL,OR,HUB2-10(3500_S),CH 2302
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE,  97,YL,BL,<->,UDOT 24-SMF,  13,OR,BL,TSOB,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE,  98,YL,OR,<->,UDOT 24-SMF,  14,OR,OR,TSOB,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE,  99,YL,GR,<->,UDOT 24-SMF,  15,OR,GR,TSOB,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 100,YL,BR,<->,UDOT 24-SMF,  16,OR,BR,TSOB,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 101,YL,SL,<->,UDOT 24-SMF,  17,OR,SL,TSOB,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 102,YL,WH,<->,UDOT 24-SMF,  18,OR,WH,TSOB,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 103,YL,RD,<->,UDOT 24-SMF,  19,OR,RD,TSOB,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 104,YL,BK,<->,UDOT 24-SMF,  20,OR,BK,TSOB,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 105,YL,YL,<->,UDOT 24-SMF,  21,OR,YL,TSOB,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 106,YL,VI,<->,UDOT 24-SMF,  22,OR,VI,TSOB,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 107,YL,RO,<->,UDOT 24-SMF,  23,OR,RO,TSOB,
HUB2-8(I-215&700_W),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 108,YL,AQ,<->,UDOT 24-SMF,  24,OR,AQ,TSOB,
SLCC_BUILDING_(UETN),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 277,AQ-BK,BL,<->,144-SMF: TSOB - I-215,  13,OR,BL,TSOB,[DTS] TSOB EAST-SOUTH - SLCC
SLCC_BUILDING_(UETN),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 278,AQ-BK,OR,<->,144-SMF: TSOB - I-215,  14,OR,OR,TSOB,[DTS] TSOB EAST-SOUTH - SLCC
SLCC_BUILDING_(UETN),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 279,AQ-BK,GR,<->,144-SMF: TSOB - I-215,  15,OR,GR,TSOB,[DTS] TSOB EAST-SOUTH - SLCC
SLCC_BUILDING_(UETN),288-SMF DIST I-215: COMPLEX - STATE OFFICE, 280,AQ-BK,BR,<->,144-SMF: TSOB - I-215,  16,OR,BR,TSOB,[DTS] TSOB EAST-SOUTH - SLCC
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 281,AQ-BK,SL,<->,144-SMF: TSOB - I-215,  17,OR,SL,TSOB,
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 282,AQ-BK,WH,<->,144-SMF: TSOB - I-215,  18,OR,WH,TSOB,
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 283,AQ-BK,RD,<->,144-SMF: TSOB - I-215,  19,OR,RD,TSOB,
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 284,AQ-BK,BK,<->,144-SMF: TSOB - I-215,  20,OR,BK,TSOB,
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 285,AQ-BK,YL,<->,144-SMF: TSOB - I-215,  21,OR,YL,TSOB,
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 286,AQ-BK,VI,<->,144-SMF: TSOB - I-215,  22,OR,VI,TSOB,
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 287,AQ-BK,RO,<->,144-SMF: TSOB - I-215,  23,OR,RO,TSOB,
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 288,AQ-BK,AQ,<->,144-SMF: TSOB - I-215,  24,OR,AQ,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S,   5,BL,SL,<->,6 DROP: I-215 SB MP 16.10,   3,BL,GR,HUB2-8(I-215&700_W),CH 2302
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S,   6,BL,WH,<->,6 DROP: I-215 SB MP 16.10,   4,BL,BR,HUB2-8(I-215&700_W),CH 2302
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S,  97,YL,BL,<->,UDOT 24-SMF,   1,BL,BL,TSOB,[DTS] CIENA TSOB
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S,  98,YL,OR,<->,UDOT 24-SMF,   2,BL,OR,TSOB,[DTS] CIENA TSOB
