Bentley Splice Report
Device Type: Splice  Model: Needs Verify Mid-Sheath  Name: 3161.4   ID: 100060291
Report Date: Thu May 21 10:12:01 2026

Location: 40.250771 -111.658446
Street: PROVO - UNIVERSITY AVE & 1230N   City/St: 3161; 4-TSC CCTV   Pole #: LONG111658422
Desc: LAT. 40.250826   Splice#: 3161.4


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

3158.2.3,1230 N DIST,   1,BL,BL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,   1,BL,BL,3166.8,
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,   2,BL,OR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,   2,BL,OR,3166.8,CH 3148
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,   3,BL,GR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,   3,BL,GR,3164.1,CH 3176
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,   4,BL,BR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,   4,BL,BR,3164.1,CH 3176
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,   5,BL,SL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,   5,BL,SL,HUB3-10(PROVO_CANYON),CH 3158
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,   6,BL,WH,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,   6,BL,WH,HUB3-10(PROVO_CANYON),CH 3158
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,   7,BL,RD,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,   7,BL,RD,HUB3-10(PROVO_CANYON),CH 3160
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,   8,BL,BK,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,   8,BL,BK,HUB3-10(PROVO_CANYON),CH 3160
3160.1,1230 N DIST,   9,BL,YL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,   9,BL,YL,3164.1,
3160.1,1230 N DIST,  10,BL,VI,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  10,BL,VI,3164.1,
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,  11,BL,RO,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  11,BL,RO,3164.1,
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,  12,BL,AQ,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  12,BL,AQ,3164.1,
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,  13,OR,BL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  13,OR,BL,3166.8,CH 3156
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,  14,OR,OR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  14,OR,OR,3166.8,CH 3156
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,  15,OR,GR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  15,OR,GR,3166.8,CH 3155
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,  16,OR,BR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  16,OR,BR,3166.8,CH 3155
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,  17,OR,SL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  17,OR,SL,3166.8,CH 3159
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,  18,OR,WH,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  18,OR,WH,3166.8,CH 3159
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,  21,OR,YL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  21,OR,YL,3164.1,[DTS] DABS 05
HUB3-6(PROVO_TCC_1325S&350E),1230 N DIST,  22,OR,VI,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  22,OR,VI,3164.1,[DTS] DABS 05
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,   1,BL,BL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  25,GR,BL,3166.8,CH 3152
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,   2,BL,OR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  26,GR,OR,3166.8,CH 3152
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,   3,BL,GR,<->,US189&1230N DROP,   1,BL,BL,3166.8,CH 3161
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,   4,BL,BR,<->,US189&1230N DROP,   2,BL,OR,3166.8,CH 3161
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,   5,BL,SL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  29,GR,SL,3166.8,CH 3164
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,   6,BL,WH,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  30,GR,WH,3166.8,CH 3164
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,   7,BL,RD,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  31,GR,RD,3166.8,CH 3165
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,   8,BL,BK,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  32,GR,BK,3166.8,CH 3165
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,   9,BL,YL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  33,GR,YL,CAB@US189&NO800,CH 3166
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  10,BL,VI,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  34,GR,VI,CAB@US189&NO800,CH 3166
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  11,BL,RO,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  35,GR,RO,3166.8,CH 3150
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  12,BL,AQ,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  36,GR,AQ,3166.8,CH 3150
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  13,OR,BL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  37,BR,BL,HUB3-10(PROVO_CANYON),CH 3169
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  14,OR,OR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  38,BR,OR,HUB3-10(PROVO_CANYON),CH 3169
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  15,OR,GR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  39,BR,GR,HUB3-10(PROVO_CANYON),[ATMS BB] 3-06 - 3-10
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  16,OR,BR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  40,BR,BR,HUB3-10(PROVO_CANYON),[ATMS BB] 3-06 - 3-10
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  17,OR,SL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  41,BR,SL,HUB3-10(PROVO_CANYON),CH 3173
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  18,OR,WH,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  42,BR,WH,HUB3-10(PROVO_CANYON),CH 3173
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  19,OR,RD,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  43,BR,RD,HUB3-10(PROVO_CANYON),[DTS BB] 3-06 - 3-10
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  20,OR,BK,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  44,BR,BK,HUB3-10(PROVO_CANYON),[DTS BB] 3-06 - 3-10
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  21,OR,YL,<->,72 DIST: 1230 NUNIVERSITY/CANYON,  21,OR,YL,BYU-TRACK,[ATMS] BYU LAB/PD
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  22,OR,VI,<->,72 DIST: 1230 NUNIVERSITY/CANYON,  22,OR,VI,BYU-TRACK,[ATMS] BYU LAB/PD
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  23,OR,RO,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  47,BR,RO,HUB3-10(PROVO_CANYON),[DTS] PROVO DMV
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  24,OR,AQ,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  48,BR,AQ,HUB3-10(PROVO_CANYON),[DTS] PROVO DMV
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  49,SL,BL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  49,SL,BL,3111.4,[ATMS BB] 3-06 - 3-04
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  50,SL,OR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  50,SL,OR,3111.4,[ATMS BB] 3-06 - 3-04
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  51,SL,GR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  51,SL,GR,3111.4,
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  52,SL,BR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  52,SL,BR,3111.4,
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  53,SL,SL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  53,SL,SL,3111.4,
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  54,SL,WH,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  54,SL,WH,3111.4,
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  55,SL,RD,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  55,SL,RD,3111.4,
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  56,SL,BK,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  56,SL,BK,3111.4,
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  57,SL,YL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  57,SL,YL,3105.2,
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  58,SL,VI,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  58,SL,VI,3105.2,
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  59,SL,RO,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  59,SL,RO,3111.4,
HUB3-6(PROVO_TCC_1325S&350E),96-SMF US-189: BULLDOG TO CANYON RD,  60,SL,AQ,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  60,SL,AQ,3111.4,
SP-3150.3.4,96-SMF US-189: BULLDOG TO CANYON RD,  61,WH,BL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  61,WH,BL,SPOREM@UNPKWY&800E.,
SP-3150.3.4,96-SMF US-189: BULLDOG TO CANYON RD,  62,WH,OR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  62,WH,OR,SPOREM@UNPKWY&800E.,
SP-3150.3.4,96-SMF US-189: BULLDOG TO CANYON RD,  63,WH,GR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  63,WH,GR,SPOREM@UNPKWY&800E.,
SP-3150.3.4,96-SMF US-189: BULLDOG TO CANYON RD,  64,WH,BR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  64,WH,BR,SPOREM@UNPKWY&800E.,
3148.1,96-SMF US-189: BULLDOG TO CANYON RD,  65,WH,SL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  65,WH,SL,SPOREM@UNPKWY&800E.,
3148.1,96-SMF US-189: BULLDOG TO CANYON RD,  66,WH,WH,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  66,WH,WH,SPOREM@UNPKWY&800E.,
3148.1,96-SMF US-189: BULLDOG TO CANYON RD,  67,WH,RD,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  67,WH,RD,SPOREM@UNPKWY&800E.,
3148.1,96-SMF US-189: BULLDOG TO CANYON RD,  68,WH,BK,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  68,WH,BK,SPOREM@UNPKWY&800E.,
3148.1,96-SMF US-189: BULLDOG TO CANYON RD,  69,WH,YL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  69,WH,YL,SPOREM@UNPKWY&800E.,
3148.1,96-SMF US-189: BULLDOG TO CANYON RD,  70,WH,VI,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  70,WH,VI,SPOREM@UNPKWY&800E.,
3148.1,96-SMF US-189: BULLDOG TO CANYON RD,  71,WH,RO,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  71,WH,RO,SPOREM@UNPKWY&800E.,
3148.1,96-SMF US-189: BULLDOG TO CANYON RD,  72,WH,AQ,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  72,WH,AQ,3115.3,
NEW-3154.4,96-SMF US-189: BULLDOG TO CANYON RD,  73,RD,BL,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  73,RD,BL,3164.1,
NEW-3154.4,96-SMF US-189: BULLDOG TO CANYON RD,  74,RD,OR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  74,RD,OR,3164.1,
NEW-3154.4,96-SMF US-189: BULLDOG TO CANYON RD,  75,RD,GR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  75,RD,GR,3164.1,
NEW-3154.4,96-SMF US-189: BULLDOG TO CANYON RD,  76,RD,BR,<->,96-SMF US-189: 1450 N TO BULLDOG AVE,  76,RD,BR,3164.1,
