Bentley Splice Report
Device Type: Splice  Model: UDOT SPEC Mid-Sheath  Name: SP-2090.4.5   ID: 653781827
Report Date: Wed May 20 13:11:52 2026

Location: 40.699735 -111.803808
Street: 3300 S & 3175 E   City/St: COTTONWOOD HEIGHTS   Pole #: 
Desc: UDOT   Splice#: SP-2090.4.5


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB2-10(3500_S),6 DROP (TSC): 3300 S & 3175 E,   1,BL,BL,<->,DIST 18. 3300 S 3175 E/3300 E,   1,BL,BL,HUB2-2(3900S),CH 2090
HUB2-10(3500_S),6 DROP (TSC): 3300 S & 3175 E,   2,BL,OR,<->,DIST 18. 3300 S 3175 E/3300 E,   2,BL,OR,HUB2-2(3900S),CH 2090
HUB2-2(3900S),6 DROP (TSC): 3300 S & 3175 E,   3,BL,GR,<->,DK-6 3300 S &2940 E,   1,BL,BL,HUB2-10(3500_S),CH 2090
HUB2-2(3900S),6 DROP (TSC): 3300 S & 3175 E,   4,BL,BR,<->,DK-6 3300 S &2940 E,   2,BL,OR,HUB2-10(3500_S),CH 2090
HUB2-10(3500_S),DIST 18. 3300 S 2700 E/3175 E,   1,BL,BL,<->,DK-6 3300 S &2940 E,   3,BL,GR,HUB2-2(3900S),CH 2090
HUB2-10(3500_S),DIST 18. 3300 S 2700 E/3175 E,   2,BL,OR,<->,DK-6 3300 S &2940 E,   4,BL,BR,HUB2-2(3900S),CH 2090


Right ---

HUB2-2(3900S),DIST 18. 3300 S 3175 E/3300 E,   1,BL,BL,<->,6 DROP (TSC): 3300 S & 3175 E,   1,BL,BL,HUB2-10(3500_S),CH 2090
HUB2-2(3900S),DIST 18. 3300 S 3175 E/3300 E,   2,BL,OR,<->,6 DROP (TSC): 3300 S & 3175 E,   2,BL,OR,HUB2-10(3500_S),CH 2090
HUB2-10(3500_S),DK-6 3300 S &2940 E,   1,BL,BL,<->,6 DROP (TSC): 3300 S & 3175 E,   3,BL,GR,HUB2-2(3900S),CH 2090
HUB2-10(3500_S),DK-6 3300 S &2940 E,   2,BL,OR,<->,6 DROP (TSC): 3300 S & 3175 E,   4,BL,BR,HUB2-2(3900S),CH 2090
HUB2-2(3900S),DK-6 3300 S &2940 E,   3,BL,GR,<->,DIST 18. 3300 S 2700 E/3175 E,   1,BL,BL,HUB2-10(3500_S),CH 2090
HUB2-2(3900S),DK-6 3300 S &2940 E,   4,BL,BR,<->,DIST 18. 3300 S 2700 E/3175 E,   2,BL,OR,HUB2-10(3500_S),CH 2090
